timeStamp,elapsed,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681268473,10204,200,,Thread-Gruppe 1-3,text,true,,104308,164,15,15,null,9832,0,0
946681267376,11301,200,,Thread-Gruppe 1-4,text,true,,103253,164,15,15,null,10943,0,0
946681270268,8411,200,,Thread-Gruppe 1-13,text,true,,152890,164,15,15,null,7898,0,0
946681271782,6907,200,,Thread-Gruppe 1-12,text,true,,106156,164,15,15,null,6382,0,0
946681263073,15618,200,,Thread-Gruppe 1-7,text,true,,105350,164,15,15,null,15003,0,16
946681268819,9872,200,,Thread-Gruppe 1-11,text,true,,108493,164,15,15,null,9491,0,0
946681269489,9202,200,,Thread-Gruppe 1-15,text,true,,103253,164,15,15,null,8812,0,0
946681262860,15833,200,,Thread-Gruppe 1-5,text,true,,118562,164,15,15,null,15468,0,86
946681262888,15812,200,,Thread-Gruppe 1-2,text,true,,102116,164,15,15,null,15438,0,58
946681278568,412,200,,Thread-Gruppe 1-14,text,true,,9792,263,15,15,null,412,0,0
946681278540,727,200,,Thread-Gruppe 1-8,text,true,,9792,263,15,15,null,725,0,0
946681278576,691,200,,Thread-Gruppe 1-6,text,true,,9792,263,15,15,null,691,0,0
